Data,"Média Precipitação Total (mm)","Média Pressão Atmosférica (mB)","Média Temperatura do Ar (°C)","Média Umidade Relativa do Ar (%)","Média Vento Velocidade (m/s)"
2022-10-20 00:00:00,0.008333333333333333,925.475,20.725,"85,25",1.6125
2022-10-21 00:00:00,0.36666666666666653,922.2291666666669,21.370833333333334,"80,88",3.0208333333333335
2022-10-22 00:00:00,0,925.0666666666667,19.991666666666667,"85,42",2.5416666666666665
2022-10-23 00:00:00,0,929.0374999999999,18.17083333333333,"86,42",2.3041666666666667
2022-10-24 00:00:00,0.016666666666666666,928.5333333333333,17.391666666666666,"95,33",2.1458333333333335
2022-10-25 00:00:00,0,928.691666666667,18.258333333333333,"84,42",2.9749999999999996
2022-10-26 00:00:00,0,926.5416666666666,18.575,"84,54",2.329166666666667
2022-10-27 00:00:00,0.008333333333333333,924.1583333333333,24.245833333333337,"65,08",2.0708333333333333
2022-10-28 00:00:00,0,925.4666666666666,23.083333333333332,"74,50",1.7499999999999998
2022-10-29 00:00:00,0.049999999999999996,924.2333333333335,24.066666666666666,"70,79",1.6500000000000001
2022-10-30 00:00:00,0.10833333333333334,921.6,23.491666666666664,"73,79",2.4291666666666663
2022-10-31 00:00:00,1.5333333333333332,922.1250000000001,21.537500000000005,"88,58",1.7958333333333332
2022-11-01 00:00:00,0.09999999999999999,929.4458333333333,16.12083333333333,"98,29",3.920833333333334
2022-11-02 00:00:00,0.3999999999999999,933.8375000000002,12.716666666666667,"100,00",3.8833333333333333
2022-11-03 00:00:00,0.17500000000000002,933.8000000000001,13.104166666666664,"90,79",3.8958333333333326
2022-11-04 00:00:00,0,931.7166666666662,14.120833333333332,"81,00",3.0000000000000004
2022-11-05 00:00:00,0.041666666666666664,930.875,14.595833333333337,"84,88",2.8833333333333333
2022-11-06 00:00:00,0,931.0958333333334,15.008333333333335,"85,67",3
2022-11-07 00:00:00,0,930.1041666666669,14.983333333333334,"85,92",2.7000000000000006
2022-11-08 00:00:00,0.008333333333333333,929.0708333333332,15.166666666666666,"83,00",1.8791666666666667
2022-11-09 00:00:00,0,927.3541666666666,17.287499999999998,"85,08",2.0666666666666664
2022-11-10 00:00:00,0,927.5208333333335,17.891666666666666,"91,63",1.9999999999999998
2022-11-11 00:00:00,0.26666666666666666,926.8083333333334,18.804166666666664,"92,42",2.083333333333334
2022-11-12 00:00:00,0.1416666666666667,925.7374999999998,19.720833333333335,"89,04",1.9875
2022-11-13 00:00:00,0,924.6833333333334,20.758333333333333,"84,46",2.075
2022-11-14 00:00:00,0.2916666666666667,923.1500000000001,22.725000000000005,"80,63",1.9416666666666667
2022-11-15 00:00:00,0,925.8541666666666,21.995833333333337,"69,13",2.108333333333334
2022-11-16 00:00:00,0,928.6583333333334,18.6625,"72,08",3.0000000000000004
2022-11-17 00:00:00,0,929.5583333333333,18.037500000000005,"72,38",2.7625000000000006
2022-11-18 00:00:00,0,929.0625,17.5,"78,17",3.691666666666667
2022-11-19 00:00:00,0,928.816666666667,17.70416666666667,"80,29",3.3541666666666665
2022-11-20 00:00:00,0.008333333333333333,927.9,19.670833333333334,"85,54",2.495833333333333
2022-11-21 00:00:00,0.008333333333333333,926.5541666666667,21.091666666666665,"82,25",1.9375
2022-11-22 00:00:00,1.2666666666666666,925.8708333333333,21.416666666666668,"82,33",1.7958333333333332
2022-11-23 00:00:00,0.35000000000000003,924.3791666666667,22.008333333333336,"84,17",1.7625
2022-11-24 00:00:00,0.23333333333333336,924.4958333333334,18.891666666666666,"90,67",2.466666666666667
2022-11-25 00:00:00,0.9999999999999997,926.8124999999999,16.474999999999998,"94,92",2.9625
2022-11-26 00:00:00,0,926.1916666666665,17.700000000000003,"86,96",1.7916666666666667
2022-11-27 00:00:00,0.008333333333333333,925.4166666666666,18.80416666666667,"91,29",2.5291666666666663
2022-11-28 00:00:00,0.7000000000000001,922.0291666666667,18.812500000000004,"94,29",1.9541666666666668
2022-11-29 00:00:00,0.45,919.0750000000002,19.566666666666674,"94,17",2.0541666666666667
2022-11-30 00:00:00,0.19999999999999998,918.75,19.525,"93,92",1.2874999999999999
2022-12-01 00:00:00,0.09166666666666667,921.0250000000001,22.024999999999995,"81,92",1.770833333333334
2022-12-02 00:00:00,0.041666666666666664,924.2999999999998,23.187500000000004,"82,83",1.604166666666667
2022-12-03 00:00:00,0.5916666666666667,925.0874999999997,22.408333333333335,"90,96",1.1041666666666667
2022-12-04 00:00:00,0.22499999999999998,923.725,22.024999999999995,"91,33",1.6208333333333336
2022-12-05 00:00:00,0.6416666666666666,924.6000000000003,21.333333333333332,"96,38",1.4750000000000003
2022-12-06 00:00:00,1.1916666666666667,925.9833333333331,21.170833333333334,"98,75",1.6749999999999998
2022-12-07 00:00:00,0.1416666666666667,925.3958333333334,21.09583333333333,"95,92",1.7625000000000002
2022-12-08 00:00:00,0.07500000000000001,923.4333333333335,21.441666666666666,"77,08",1.5416666666666667
2022-12-09 00:00:00,,922.5541666666667,23.349999999999994,"77,63",1.8166666666666667
2022-12-10 00:00:00,,924.0333333333333,22.333333333333332,"79,96",1.6083333333333332
2022-12-11 00:00:00,,923.5416666666665,24.224999999999994,"76,42",1.7
2022-12-12 00:00:00,,920.9416666666666,23.320833333333326,"88,58",2.2708333333333335
2022-12-13 00:00:00,,919.9833333333332,19.76666666666667,"99,71",2.6916666666666664
2022-12-14 00:00:00,,925.2833333333333,18.154166666666665,"82,13",3.2541666666666664
2022-12-15 00:00:00,,925.1541666666667,19.25833333333333,"81,46",2.3791666666666664
2022-12-16 00:00:00,,921.8791666666666,20.00833333333333,"86,33",1.929166666666667
2022-12-17 00:00:00,,922.8375,18.758333333333333,"90,33",2.3833333333333333
2022-12-18 00:00:00,,925.9208333333332,18.958333333333332,"93,29",3.149999999999999
2022-12-19 00:00:00,,926.8083333333334,18.212500000000002,"98,17",2.8541666666666665
2022-12-20 00:00:00,,924.2458333333333,18.183333333333334,"98,33",2.020833333333333
2022-12-21 00:00:00,,925.0666666666666,17.350000000000005,"99,13",3.5083333333333315
2022-12-22 00:00:00,,926.7583333333332,16.85,"98,42",3.5125000000000006
2022-12-23 00:00:00,,927.3333333333334,17.53333333333334,"90,46",2.8874999999999997
2022-12-24 00:00:00,,927.1875000000001,19.375,"90,96",2.5124999999999997
2022-12-25 00:00:00,,926.9833333333332,20.691666666666666,"90,04",2.0500000000000003
2022-12-26 00:00:00,,925.5708333333333,22.066666666666666,"85,96",1.5750000000000002
2022-12-27 00:00:00,,925.4250000000001,22.40416666666667,"89,79",1.5958333333333334
2022-12-28 00:00:00,0.06666666666666667,924.275,21.91666666666667,"89,08",2.6041666666666665
2022-12-29 00:00:00,0.375,925.725,21.620833333333334,"91,96",2.108333333333333
2022-12-30 00:00:00,0.25,928.0666666666667,20.041666666666668,"97,00",2.120833333333333
2022-12-31 00:00:00,1.4500000000000002,927.9458333333333,20.816666666666663,"94,75",1.4958333333333336
2023-01-01 00:00:00,0.008333333333333333,927.4375,21.225,"92,46",1.7291666666666667
2023-01-02 00:00:00,0.008333333333333333,924.8999999999996,23.037499999999998,"80,42",1.6833333333333333
2023-01-03 00:00:00,0.525,922.4583333333335,23.175000000000008,"80,88",2.308333333333333
2023-01-04 00:00:00,1.1833333333333333,922.3750000000003,20.3875,"97,67",2.216666666666667
2023-01-05 00:00:00,0.7166666666666667,925.275,16.7625,"100,00",2.654166666666667
2023-01-06 00:00:00,0.1416666666666667,928.7916666666666,16.570833333333336,"95,04",3.158333333333333
2023-01-07 00:00:00,0.025000000000000005,930.5666666666667,16.937500000000004,"95,58",2.958333333333334
2023-01-08 00:00:00,0.13333333333333333,929.5916666666667,18.308333333333334,"96,54",2.7458333333333336
2023-01-09 00:00:00,0.008333333333333333,928.0499999999998,18.291666666666668,"98,67",2.7708333333333335
2023-01-10 00:00:00,0.08333333333333333,927.0666666666663,19.533333333333328,"98,79",1.3083333333333333
2023-01-11 00:00:00,0.10000000000000002,926.0666666666666,21.758333333333336,"89,58",1.6499999999999997
2023-01-12 00:00:00,0.5249999999999999,924.2625000000002,21.76666666666667,"90,08",1.9458333333333335
2023-01-13 00:00:00,0.15833333333333333,923.3416666666666,23.29166666666667,"86,33",2.2083333333333335
2023-01-14 00:00:00,0.6,925.0208333333334,23.24166666666667,"82,33",2.4291666666666667
2023-01-15 00:00:00,1.9833333333333336,926.7500000000001,24.45,"82,25",1.820833333333333
2023-01-16 00:00:00,0.025000000000000005,926.6041666666666,23.59166666666667,"92,75",1.633333333333333
2023-01-17 00:00:00,0,927.6375000000002,23.641666666666666,"90,63",2.1583333333333337
2023-01-18 00:00:00,0,928.9833333333337,22.470833333333342,"91,54",1.9958333333333338
2023-01-19 00:00:00,0,928.2416666666668,21.941666666666666,"91,25",2.0541666666666667
2023-01-20 00:00:00,1.3083333333333333,925.6333333333333,21.079166666666666,"92,42",1.3708333333333333
2023-01-21 00:00:00,0.016666666666666666,922.5666666666667,21.941666666666666,"87,83",1.7166666666666666
2023-01-22 00:00:00,0,921.8708333333334,24.04166666666666,"77,83",1.995833333333333
2023-01-23 00:00:00,0.38333333333333336,922.8416666666667,22.770833333333332,"89,21",1.3625
2023-01-24 00:00:00,0.016666666666666666,922.9541666666669,22.233333333333334,"91,29",1.4541666666666666
2023-01-25 00:00:00,0,924.6666666666666,22.16666666666666,"87,83",2.3833333333333333
2023-01-26 00:00:00,0,925.529166666667,22.045833333333334,"70,17",2.6958333333333333
2023-01-27 00:00:00,0,926.3791666666667,20.858333333333334,"86,04",2.225
2023-01-28 00:00:00,0.10000000000000002,926.9000000000001,22.879166666666663,"87,21",1.5958333333333334
2023-01-29 00:00:00,0.20833333333333334,925.7624999999997,23.516666666666666,"87,96",1.7583333333333335
2023-01-30 00:00:00,0,924.3541666666669,23.016666666666666,"84,17",2.120833333333333
2023-01-31 00:00:00,0.28333333333333327,924.8250000000002,23.212500000000002,"85,46",2.425
2023-02-01 00:00:00,0.6583333333333332,926.1625000000003,23.287499999999994,"85,50",1.7333333333333334
2023-02-02 00:00:00,0.7916666666666666,926.1333333333332,24.73333333333333,"79,42",2.1041666666666665
2023-02-03 00:00:00,0.25,925.2208333333332,23.225000000000005,"84,67",3.108333333333334
2023-02-04 00:00:00,0.26666666666666666,925.3458333333333,22.854166666666668,"84,25",3.7249999999999996
2023-02-05 00:00:00,0.19999999999999998,925.8249999999999,24.099999999999998,"85,21",2.4416666666666664
2023-02-06 00:00:00,0.27499999999999997,925.7916666666669,22.254166666666663,"91,29",1.4916666666666665
2023-02-07 00:00:00,0.9416666666666665,926.7041666666664,21.6875,"93,75",1.5166666666666666
2023-02-08 00:00:00,0.025000000000000005,926.5916666666667,21.287499999999998,"90,75",1.9124999999999996
2023-02-09 00:00:00,0,926.6869565217394,21.917391304347824,"88,30",1.7652173913043476
2023-02-10 00:00:00,0.016666666666666666,926.4708333333332,22.650000000000002,"88,75",1.8458333333333334
2023-02-11 00:00:00,0.27499999999999997,926.6833333333333,21.233333333333334,"94,63",1.2166666666666666
2023-02-12 00:00:00,1.6500000000000001,925.8000000000001,21.82916666666667,"92,79",1.4708333333333332
2023-02-13 00:00:00,0.5666666666666667,925.6624999999999,22.433333333333334,"88,00",1.8291666666666673
2023-02-14 00:00:00,0.18333333333333335,924.8208333333336,23.495833333333334,"84,63",1.7291666666666667
2023-02-15 00:00:00,0.5666666666666667,922.4458333333332,23.76666666666667,"84,88",2.5625000000000004
2023-02-16 00:00:00,0,920.0124999999999,23.666666666666668,"84,92",2.870833333333334
2023-02-17 00:00:00,1.1583333333333334,921.1749999999998,23.549999999999997,"81,83",3.129166666666666
2023-02-18 00:00:00,0.5249999999999999,925.9291666666668,21.741666666666664,"96,38",1.7958333333333334
2023-02-19 00:00:00,1.1416666666666666,929.8125000000001,18.304166666666664,"99,79",3.5166666666666675
2023-02-20 00:00:00,0.23333333333333336,927.9083333333333,21.066666666666666,"91,50",1.6208333333333333
2023-02-21 00:00:00,2.0250000000000004,927.2458333333335,22.133333333333336,"91,04",1.9333333333333336
2023-02-22 00:00:00,0.025000000000000005,929.6708333333332,21.07083333333333,"95,00",1.6291666666666664
2023-02-23 00:00:00,0.18333333333333335,929.9999999999999,21.337499999999995,"94,21",1.3875
2023-02-24 00:00:00,0.008333333333333333,926.8083333333333,23.67083333333333,"83,17",1.6124999999999998
2023-02-25 00:00:00,0.049999999999999996,925.0124999999999,24.399999999999995,"82,54",1.8208333333333337
2023-02-26 00:00:00,0.008333333333333333,927.3458333333332,25.31666666666666,"75,54",1.995833333333333
2023-02-27 00:00:00,0.049999999999999996,930.5166666666668,22,"97,92",2.0916666666666663
2023-02-28 00:00:00,0.15833333333333335,931.5999999999999,20.912499999999998,"98,04",2.2624999999999997
2023-03-01 00:00:00,0.13333333333333333,929.3333333333334,21.4875,"88,92",1.6041666666666663
2023-03-02 00:00:00,0.05833333333333333,927.1541666666666,22.816666666666666,"86,83",1.3541666666666667
2023-03-03 00:00:00,0.39166666666666666,926.6625,23.508333333333336,"85,92",1.5458333333333332
2023-03-04 00:00:00,0.016666666666666666,926.6916666666666,23.695833333333336,"87,42",1.875
2023-03-05 00:00:00,0.041666666666666664,924.7708333333335,23.325000000000003,"81,33",2.316666666666667
2023-03-06 00:00:00,0.5916666666666667,923.4333333333334,22.216666666666665,"84,33",1.9333333333333333
2023-03-07 00:00:00,0.041666666666666664,925.1791666666667,22.504166666666666,"78,46",1.6250000000000007
2023-03-08 00:00:00,0.5750000000000001,926.9,23.058333333333334,"75,67",1.4999999999999998
2023-03-09 00:00:00,0.3,927.7375000000001,22.412499999999998,"89,71",1.0125
2023-03-10 00:00:00,2.316666666666667,927.9125,21.512500000000003,"96,58",1.2708333333333333
2023-03-11 00:00:00,0.20833333333333334,926.9875000000001,20.958333333333332,"95,58",1.1458333333333333
2023-03-12 00:00:00,1.7666666666666668,927.5833333333331,20.904166666666665,"97,38",1.258333333333333
2023-03-13 00:00:00,0.5416666666666666,928.2749999999997,21.520833333333332,"94,50",1.7333333333333334
2023-03-14 00:00:00,0.049999999999999996,928.775,21.879166666666663,"95,67",1.508333333333333
2023-03-15 00:00:00,0,928.8249999999999,21.820833333333336,"92,17",2.3
2023-03-16 00:00:00,0,928.1833333333335,21.950000000000003,"89,13",2.2833333333333328
2023-03-17 00:00:00,0,928.5833333333335,21.045833333333334,"89,08",2.3249999999999997
2023-03-18 00:00:00,0.008333333333333333,928.5208333333334,21.2375,"90,04",1.9916666666666665
2023-03-19 00:00:00,0,928.025,22.5,"87,50",1.8041666666666665
2023-03-20 00:00:00,0.15833333333333335,927.2874999999998,23.86666666666667,"82,08",1.4583333333333333
2023-03-21 00:00:00,0,928.5750000000002,22.812500000000004,"82,08",1.8666666666666665
2023-03-22 00:00:00,0,930.5999999999999,21.837500000000002,"90,00",2.2375
2023-03-23 00:00:00,0,930.7083333333334,21.795833333333338,"87,83",2.05
2023-03-24 00:00:00,0.008333333333333333,928.6999999999999,23.89166666666667,"78,42",1.3125
2023-03-25 00:00:00,0,928.4250000000002,22.016666666666662,"91,21",1.770833333333333
2023-03-26 00:00:00,0,927.0749999999999,25.537499999999998,"73,54",1.808333333333333
2023-03-27 00:00:00,0.6166666666666666,928.8375000000002,19.937499999999996,"98,25",2.579166666666666
2023-03-28 00:00:00,0.008333333333333333,929.2541666666667,19.841666666666665,"96,38",2.3791666666666664
2023-03-29 00:00:00,0.008333333333333333,927.9374999999999,22.150000000000002,"89,17",1.366666666666667
2023-03-30 00:00:00,0,928.1916666666666,24.179166666666664,"79,08",1.3916666666666668
2023-03-31 00:00:00,1.3333333333333333,927.2708333333334,21.795833333333334,"90,29",1.5458333333333332
2023-04-01 00:00:00,0.008333333333333333,926.2875,21.708333333333332,"87,13",1.7000000000000002
2023-04-02 00:00:00,0.025000000000000005,928.8541666666666,18.154166666666665,"93,50",2.6999999999999997
2023-04-03 00:00:00,0,928.5708333333333,18.937499999999996,"89,46",2.0875
2023-04-04 00:00:00,0,927.0625,21.241666666666664,"85,46",1.5916666666666666
2023-04-05 00:00:00,0.008333333333333333,927.375,19.441666666666666,"90,50",1.7625000000000002
2023-04-06 00:00:00,0,928.1499999999997,19.841666666666672,"93,58",2.5416666666666665
2023-04-07 00:00:00,0.5833333333333333,926.7833333333334,19.5125,"99,54",1.4958333333333333
2023-04-08 00:00:00,0.11666666666666668,928.0458333333335,19.270833333333332,"99,79",2.733333333333333
2023-04-09 00:00:00,0.008333333333333333,930.4791666666666,18.750000000000004,"95,38",2.9166666666666665
2023-04-10 00:00:00,0,931.5124999999998,18.404166666666665,"88,46",2.5125
2023-04-11 00:00:00,0,929.6375000000002,19.099999999999998,"90,96",2.0375000000000005
2023-04-12 00:00:00,0,926.9999999999999,20.945833333333336,"86,67",1.4083333333333334
2023-04-13 00:00:00,0.016666666666666666,925.0333333333332,22.64583333333333,"86,75",1.6041666666666667
2023-04-14 00:00:00,0.6833333333333332,924.9666666666668,20.825,"96,08",1.1125
2023-04-15 00:00:00,0.05833333333333333,927.5083333333333,19.6375,"98,25",1.8333333333333328
2023-04-16 00:00:00,0.025000000000000005,927.8958333333334,20.129166666666674,"93,29",2.0291666666666663
2023-04-17 00:00:00,0.15833333333333335,922.0000000000001,21.883333333333336,"86,33",1.9458333333333335
2023-04-18 00:00:00,1.958333333333334,918.1625,20.8,"97,88",2.2333333333333334
2023-04-19 00:00:00,0.8083333333333332,920.15,20.2125,"78,04",2.1416666666666666
2023-04-20 00:00:00,0,927.0416666666666,16.879166666666666,"67,58",2.1416666666666666
2023-04-21 00:00:00,0.008333333333333333,930.9166666666665,15.158333333333331,"89,88",2.391666666666667
2023-04-22 00:00:00,0,930.9916666666667,17.15,"88,71",2.2208333333333337
2023-04-23 00:00:00,0,931.3916666666669,18.570833333333333,"91,50",2.2125
2023-04-24 00:00:00,0.008333333333333333,932.2416666666668,18.337500000000002,"85,46",2.2583333333333333
2023-04-25 00:00:00,0.008333333333333333,931.2333333333335,18.387500000000003,"88,25",1.3374999999999997
2023-04-26 00:00:00,0.008333333333333333,928.3333333333331,19.349999999999998,"92,42",1.4124999999999999
2023-04-27 00:00:00,0.10833333333333335,926.2375000000001,19.245833333333337,"92,50",1.8625
2023-04-28 00:00:00,0.10000000000000002,928.5916666666667,16.937500000000004,"96,88",1.854166666666667
2023-04-29 00:00:00,0.03333333333333333,929.8000000000001,17.691666666666666,"97,17",2.2375000000000003
2023-04-30 00:00:00,0,929.3208333333336,19.8875,"91,50",1.866666666666667
2023-05-01 00:00:00,0,928.2041666666669,20.412499999999998,"91,58",1.479166666666667
2023-05-02 00:00:00,0,927.3249999999999,20.083333333333332,"93,42",1.7166666666666666
2023-05-03 00:00:00,0,927.5708333333332,20.199999999999996,"92,04",1.3041666666666665
2023-05-04 00:00:00,0,928.6833333333333,21.7375,"82,25",1.1416666666666668
2023-05-05 00:00:00,0.016666666666666666,930.9458333333333,20.587500000000002,"92,83",1.2624999999999997
2023-05-06 00:00:00,0,931.1791666666664,20.858333333333338,"92,67",1.541666666666667
2023-05-07 00:00:00,0,929.6874999999999,20.866666666666664,"89,67",1.4750000000000003
2023-05-08 00:00:00,0,929.4875000000001,21.84166666666667,"81,67",1.2
2023-05-09 00:00:00,0.09166666666666666,929.625,20.5375,"93,04",1.0625
2023-05-10 00:00:00,0.15833333333333335,929.3249999999999,18.716666666666665,"99,96",2.0833333333333335
2023-05-11 00:00:00,0.016666666666666666,927.0750000000002,17.995833333333334,"89,83",1.4999999999999998
2023-05-12 00:00:00,0,929.0666666666666,15.62083333333333,"91,58",2.4041666666666663
2023-05-13 00:00:00,0.008333333333333333,930.4374999999999,14.654166666666667,"93,13",1.8291666666666673
2023-05-14 00:00:00,0.008333333333333333,931.3375000000002,15.812499999999998,"85,25",1.3291666666666668
2023-05-15 00:00:00,0.016666666666666666,931.6999999999998,15.570833333333335,"81,00",1.1416666666666664
2023-05-16 00:00:00,0.008333333333333333,930.808333333333,15.137500000000003,"81,75",1.5416666666666667
2023-05-17 00:00:00,0.008333333333333333,931.6958333333333,15.454166666666667,"88,71",2.1708333333333334
2023-05-18 00:00:00,0,932.5708333333332,15.433333333333332,"88,50",2.204166666666667
2023-05-19 00:00:00,0,931.725,15.366666666666667,"88,42",1.8250000000000004
2023-05-20 00:00:00,0.008333333333333333,930.5541666666668,15.945833333333331,"84,63",1.5416666666666667
2023-05-21 00:00:00,0.016666666666666666,929.1374999999998,16.604166666666668,"85,29",1.008333333333333
2023-05-22 00:00:00,0.008333333333333333,930.1708333333332,17.745833333333334,"82,54",1.041666666666667
2023-05-23 00:00:00,0.008333333333333333,931.9916666666668,18.208333333333332,"81,33",1.1458333333333333
2023-05-24 00:00:00,0.008333333333333333,931.7125,18.07916666666667,"87,58",1.445833333333333
2023-05-25 00:00:00,0.008333333333333333,932.1375000000002,18.916666666666668,"90,13",1.5583333333333333
2023-05-26 00:00:00,0,931.4208333333332,19.787499999999998,"79,67",1.3875000000000002
2023-05-27 00:00:00,0,930.2083333333331,20.7375,"72,25",1.5166666666666666
2023-05-28 00:00:00,0.049999999999999996,929.4499999999999,18.104166666666664,"96,42",1.0208333333333335
2023-05-29 00:00:00,0.075,931.3166666666665,15.558333333333332,"99,17",2.9125
2023-05-30 00:00:00,0.008333333333333333,933.1333333333333,15.008333333333335,"99,42",3.116666666666667
2023-05-31 00:00:00,1.7000000000000004,931.0541666666667,15.587500000000006,"100,00",1.241666666666667
2023-06-01 00:00:00,0.06666666666666667,932.1500000000002,16.208333333333332,"96,00",1.2500000000000002
2023-06-02 00:00:00,0,932.225,16.500000000000004,"94,46",1.5750000000000002
2023-06-03 00:00:00,0,931.8166666666666,17.3,"87,46",1.479166666666667
2023-06-04 00:00:00,0.016666666666666666,932.3833333333333,17.604166666666664,"79,83",0.9500000000000002
2023-06-05 00:00:00,0.016666666666666666,932.5416666666664,16.454166666666666,"87,67",1.1791666666666667
2023-06-06 00:00:00,0.009090909090909092,932.6318181818181,16.12272727272727,"89,64",1.7227272727272727
2023-06-07 00:00:00,0.018181818181818184,932.7181818181817,20.018181818181816,"64,45",1.4636363636363634
2023-06-08 00:00:00,0,932.1538461538462,20.115384615384617,"67,92",1.2923076923076924
2023-06-09 00:00:00,0.013333333333333334,930.3133333333333,20.766666666666662,"62,20",2.033333333333333
2023-06-10 00:00:00,0,929.6058823529411,21.041176470588237,"56,06",1.9705882352941178
2023-06-11 00:00:00,0,928.025,22.256249999999998,"49,44",2.5375
2023-06-12 00:00:00,0,929.3333333333331,18.470833333333335,"91,17",1.7750000000000001
2023-06-13 00:00:00,0.025000000000000005,932.933333333333,15.808333333333332,"99,96",2.5541666666666667
2023-06-14 00:00:00,0.5083333333333334,931.9958333333335,14.820833333333333,"100,00",1
2023-06-15 00:00:00,0.49999999999999994,929.7791666666667,16.104166666666668,"100,00",1.2
2023-06-16 00:00:00,0.025000000000000005,929.3666666666667,14.733333333333334,"92,50",3.3624999999999994
2023-06-17 00:00:00,0.008333333333333333,931.9541666666668,12.266666666666671,"88,04",1.8
2023-06-18 00:00:00,0,933.1458333333334,13.787500000000001,"91,50",1.583333333333333
2023-06-19 00:00:00,0,935.2375000000001,14.154166666666669,"94,50",2.4583333333333335
2023-06-20 00:00:00,0,934.225,15.837500000000004,"83,08",1.6208333333333336
2023-06-21 00:00:00,0.008695652173913044,931.704347826087,16.817391304347822,"76,30",1.2608695652173916
2023-06-22 00:00:00,0,930.7083333333331,21.008333333333333,"54,58",1.8250000000000002
2023-06-23 00:00:00,0,929.4615384615385,20.97692307692308,"56,69",1.8769230769230771
2023-06-24 00:00:00,0,930.35625,20.812499999999996,"62,38",1.4999999999999998
2023-06-25 00:00:00,0,931.6733333333333,21.833333333333332,"60,93",1.4266666666666665
2023-06-26 00:00:00,0,931.6882352941176,20.952941176470585,"67,12",1.088235294117647
2023-06-27 00:00:00,0,931.1263157894738,19.736842105263158,"65,32",1.8157894736842106
2023-06-28 00:00:00,0.009523809523809525,931.2476190476189,19.74285714285714,"66,43",1.9428571428571426
2023-06-29 00:00:00,0.15,934.03,16.795,"92,55",2.0949999999999998
2023-06-30 00:00:00,0.2416666666666667,935.025,16.291666666666668,"95,92",2.208333333333333
